county_name,crime_rate_per_100000,index,EDITION,PART,IDNO,CPOPARST,CPOPCRIM,AG_ARRST,AG_OFF,COVIND,INDEX,MODINDX,MURDER,RAPE,ROBBERY,AGASSLT,BURGLRY,LARCENY,MVTHEFT,ARSON,population,FIPS_ST,FIPS_CTY
"Nacogdoches County, TX",327.567733,761,1,4,2724,66446,66446,3,3,100,214,1855,1,24,30,159,430,1358,67,5,65330,48,347
"Talladega County, AL",326.7732071,762,1,4,61,77856,81992,6,7,98.9552,265,3475,3,25,39,198,1028,2262,185,8,81096,1,121
"Duplin County, NC",326.2099727,763,1,4,1942,60080,60132,9,8,100,196,1503,9,15,24,148,633,806,64,12,60084,37,61
"Webster County, WV",326.0991791,764,1,4,3077,9143,0,6,1,100,29,59,3,0,1,25,26,29,4,0,8893,54,101
"Yadkin County, NC",325.9897997,765,1,4,2010,38658,36813,7,3,100,124,963,2,6,6,110,376,552,35,6,38038,37,197
"Washington County, AL",325.8873022,766,1,4,65,17414,17414,4,4,98.8515,55,238,2,3,3,46,68,146,23,6,16877,1,129
"West Baton Rouge Parish, LA",325.5605746,767,1,4,1182,24252,24252,4,4,100,80,671,4,2,7,67,72,565,34,1,24573,22,121
"Lincoln Parish, LA",324.7985827,768,1,4,1152,47133,47133,5,4,100,154,1290,3,12,29,110,378,889,23,0,47414,22,61
"Union County, TN",324.5733431,769,1,4,2542,19359,19359,4,4,100,62,687,2,7,9,44,237,403,47,13,19102,47,173
"Tama County, IA",324.3058716,770,1,4,882,17764,14889,3,2,100,57,117,0,2,0,55,45,63,9,17,17576,19,171
"Citrus County, FL",323.8290814,771,1,4,334,141942,138814,11,4,100,451,2837,5,26,57,363,737,1971,129,16,139271,12,17
"Lake County, FL",323.6655694,772,1,4,359,305126,305126,24,18,100,997,7312,8,65,130,794,2003,4934,375,25,308034,12,69
"Wood County, WV",323.4414167,773,1,4,3080,87122,87122,9,7,96.6587,280,2604,1,28,35,216,619,1876,109,29,86569,54,107
"Lake County, TN",323.3734316,774,1,4,2503,7843,7843,4,4,100,25,88,0,0,2,23,28,56,4,4,7731,47,95
"Wilson County, TN",323.0964779,775,1,4,2550,117580,117580,5,5,100,394,2584,4,17,44,329,569,1855,160,5,121945,47,189
"Valley County, ID",322.7149698,776,1,4,600,9703,9703,3,3,95.2386,31,204,0,9,0,22,47,151,6,1,9606,16,85
"Craighead County, AR",322.205581,777,1,4,128,98688,98688,8,8,99.0372,327,3782,4,29,82,212,1387,2285,110,18,101488,5,31
"Pierce County, GA",322.1037068,778,1,4,506,18961,18970,3,4,100,61,374,0,4,16,41,143,218,13,0,18938,13,229
